ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
39831_at	0.403	0.0000319	-4.994102	-3.17	-0.9518487	SRRT	serrate, RNA effector molecule
38822_at	0.733	0.0001455	-4.426024	-3.37	-0.5489243	STK17A	serine/threonine kinase 17a
1638_at	0.733	0.0001741	4.358468	-3.4	1.4072431	ETV6	ETS variant 6
1929_at	0.999	0.0005387	-3.931684	-3.56	-1.3541484	ANGPT1	angiopoietin 1
38896_at	0.999	0.0005634	-3.914583	-3.57	-1.3716061	TNPO2	transportin 2
927_s_at	0.999	0.0006063	3.886613	-3.58	1.0345862	MUC1	mucin 1, cell surface associated
39965_at	0.999	0.000635	-3.868926	-3.58	-0.4386373	RAC3	ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3)
36436_at	0.999	0.0006873	-3.838737	-3.6	-1.4652912	LECT2	leukocyte cell derived chemotaxin 2
33615_at	0.999	0.0007959	-3.782533	-3.62	-1.3843108	OR1E1	olfactory receptor family 1 subfamily E member 1
39648_at	0.999	0.0012475	3.609328	-3.69	0.9645853	PEX11A	peroxisomal biogenesis factor 11 alpha
33200_at	0.999	0.0015496	-3.525066	-3.72	-0.8375416	LLGL1	LLGL1, scribble cell polarity complex component
34583_at	0.999	0.0016038	-3.511676	-3.73	-1.2671674	FLT3	fms related tyrosine kinase 3
33211_at	0.999	0.0016324	-3.504783	-3.73	-0.5254875	RRBP1	ribosome binding protein 1
33218_at	0.999	0.0018627	3.453177	-3.75	0.5848919	ERBB2	erb-b2 receptor tyrosine kinase 2
40611_s_at	0.999	0.0019735	-3.430518	-3.76	-1.503302	ZFR	zinc finger RNA binding protein
36364_at	0.999	0.0021519	3.396507	-3.77	0.4846097	ABAT	4-aminobutyrate aminotransferase
34147_g_at	0.999	0.002298	-3.370634	-3.78	-0.5967043	OGG1	8-oxoguanine DNA glycosylase
35904_at	0.999	0.0023768	-3.357332	-3.79	-1.1717092	SLC10A2	solute carrier family 10 member 2
31506_s_at	0.999	0.0024224	-3.349833	-3.79	-0.8889725	DEFA1B///DEFA3///DEFA1	defensin alpha 1B///defensin alpha 3///defensin alpha 1
611_at	0.999	0.0024598	-3.343786	-3.79	-0.9127593	GIP	gastric inhibitory polypeptide
33869_at	0.999	0.0025408	-3.330974	-3.8	-0.5753557	STAT5B	signal transducer and activator of transcription 5B
36843_at	0.999	0.0025843	3.324243	-3.8	0.7823604	SIPA1	signal-induced proliferation-associated 1
1236_s_at	0.999	0.0035169	-3.201588	-3.85	-0.8524757	NF1P9///NF1	neurofibromin 1 pseudogene 9///neurofibromin 1
35528_at	0.999	0.0036177	-3.19027	-3.86	-1.4502166	WIPF1	WAS/WASL interacting protein family member 1
761_g_at	0.999	0.0037253	-3.178517	-3.86	-1.135255	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2
35541_r_at	0.999	0.0039338	3.156635	-3.87	1.6764238		
38087_s_at	0.999	0.0039841	3.151521	-3.87	0.8683871	S100A4	S100 calcium binding protein A4
33981_at	0.999	0.005042	3.056285	-3.91	0.74526	IL4	interleukin 4
1580_f_at	0.999	0.0052279	-3.041552	-3.92	-0.7827741	IFNA4	interferon alpha 4
40793_s_at	0.999	0.0052521	3.039674	-3.92	0.6457192	AQP4	aquaporin 4
32115_r_at	0.999	0.0052612	-3.038965	-3.92	-0.732378	SPECC1L-ADORA2A///ADORA2A	SPECC1L-ADORA2A readthrough (NMD candidate)///adenosine A2a receptor
1966_i_at	0.999	0.0052615	-3.038942	-3.92	-0.5176481		
34040_s_at	0.999	0.0055275	3.018836	-3.92	1.101464	NCR1	natural cytotoxicity triggering receptor 1
35460_at	0.999	0.0055674	3.015894	-3.93	1.3038843	GPR4	G protein-coupled receptor 4
33019_at	0.999	0.0056041	-3.013215	-3.93	-0.7476072	PARK2	parkin RBR E3 ubiquitin protein ligase
1427_g_at	0.999	0.0056474	-3.010066	-3.93	-0.7141056	SLA	Src-like-adaptor
35441_at	0.999	0.0058598	-2.994971	-3.93	-0.472389	GLE1	GLE1, RNA export mediator
31648_at	0.999	0.006029	-2.98331	-3.94	-1.3569647	KIF25-AS1	KIF25 antisense RNA 1
1719_at	0.999	0.0061132	2.977619	-3.94	0.4716146	MSH3	mutS homolog 3
35523_at	0.999	0.0061621	2.974351	-3.94	0.8862153	HPGDS	hematopoietic prostaglandin D synthase
36778_at	0.999	0.0061635	2.974256	-3.94	1.1040551	GPR143	G protein-coupled receptor 143
38039_at	0.999	0.006219	2.970578	-3.94	1.2944426	CYP19A1	cytochrome P450 family 19 subfamily A member 1
41618_at	0.999	0.0062976	2.96542	-3.95	0.9964643	COL17A1	collagen type XVII alpha 1 chain
41695_at	0.999	0.0063556	2.961652	-3.95	0.557918	ZBTB43	zinc finger and BTB domain containing 43
38520_r_at	0.999	0.006519	2.951211	-3.95	1.3591693	SLC14A1	solute carrier family 14 member 1 (Kidd blood group)
41353_at	0.999	0.0065841	-2.947123	-3.95	-1.2772874	TNFRSF17	TNF receptor superfamily member 17
41056_at	0.999	0.0066899	-2.940559	-3.96	-0.7634414	PART1	prostate androgen-regulated transcript 1 (non-protein coding)
35065_at	0.999	0.0067518	-2.936759	-3.96	-0.9333778	AGGF1	angiogenic factor with G-patch and FHA domains 1
AFFX-HUMTFRR/M11507_5_at	0.999	0.0068546	-2.930528	-3.96	-0.8603949	TFRC	transferrin receptor
32899_s_at	0.999	0.0069443	2.925163	-3.96	0.8714788	RORA	RAR related orphan receptor A
161_at	0.999	0.0069773	2.923206	-3.96	1.3133753	RAB9BP1	RAB9B, member RAS oncogene family pseudogene 1
36779_at	0.999	0.0071079	-2.915543	-3.97	-0.4095322	FABP6	fatty acid binding protein 6
716_at	0.999	0.0071686	-2.91203	-3.97	-0.7090541	BCRP3	breakpoint cluster region pseudogene 3
40413_at	0.999	0.0072228	-2.908915	-3.97	-0.4639796	DAP3	death associated protein 3
346_s_at	0.999	0.0072979	2.904632	-3.97	1.1785959	AGTR1	angiotensin II receptor type 1
34852_g_at	0.999	0.0075444	2.890875	-3.98	1.2353541	AURKA	aurora kinase A
41392_at	0.999	0.0075704	2.889445	-3.98	1.0208304	NOP14-AS1	NOP14 antisense RNA 1
37274_at	0.999	0.0077259	-2.881012	-3.98	-0.4356832	BTD	biotinidase
32137_at	0.999	0.0077754	-2.878359	-3.98	-0.2551782	JAG2	jagged 2
35064_at	0.999	0.0079229	-2.870553	-3.98	-0.8565192	TRIM31	tripartite motif containing 31
35590_s_at	0.999	0.0083244	-2.849972	-3.99	-0.5023161	GIPR	gastric inhibitory polypeptide receptor
35702_at	0.999	0.0084482	-2.843814	-4	-0.649847	HSD11B1	hydroxysteroid 11-beta dehydrogenase 1
39855_at	0.999	0.008571	-2.837795	-4	-0.394987	FZR1	fizzy/cell division cycle 20 related 1
40207_g_at	0.999	0.0091831	-2.808938	-4.01	-0.5129317	PSKH1	protein serine kinase H1
38729_at	0.999	0.0092657	-2.805182	-4.01	-0.3035583	FKBP4	FK506 binding protein 4
32168_s_at	0.999	0.0092818	2.804455	-4.01	0.2967779	RCAN1	regulator of calcineurin 1
1693_s_at	0.999	0.0094249	2.798038	-4.01	0.672838	TIMP1	TIMP metallopeptidase inhibitor 1
